depcom,ncc,nccenr,depcom_pole
50116,CHAMPCEY,Champcey,50565
50119,LES CHAMPS-DE-LOSQUE,Les Champs-de-Losque,50431
50122,LA CHAPELLE-DU-FEST,La Chapelle-du-Fest,50444
50123,LA CHAPELLE-EN-JUGER,La Chapelle-en-Juger,50239
50125,CHASSEGUEY,Chasseguey,50260
50127,CHEF-DU-PONT,Chef-du-Pont,50523
50128,LE CHEFRESNE,Le Chefresne,50393
50131,CHERENCE-LE-ROUSSEL,Chérencé-le-Roussel,50260
50132,LES CHERIS,Les Chéris,50168
50133,CHEVREVILLE,Chèvreville,50391
50134,CHEVRY,Chevry,50363
50136,COIGNY,Coigny,50273
50141,CORMERAY,Cormeray,50410
50153,CRETTEVILLE,Cretteville,50400
50154,LA CROIX-AVRANCHIN,La Croix-Avranchin,50487
50157,CUREY,Curey,50410
50163,DIGULLEVILLE,Digulleville,50041
50170,ECOQUENEAUVILLE,Écoquenéauville,50523
50171,ECULLEVILLE,Éculleville,50041
50173,EQUEURDREVILLE-HAINNEVILLE,Équeurdreville-Hainneville,50129
50179,FERRIERES,Ferrières,50591
50180,FERVACHES,Fervaches,50592
50187,FLOTTEMANVILLE-HAGUE,Flottemanville-Hague,50041
50189,FONTENAY,Fontenay,50436
50191,FOUCARVILLE,Foucarville,50523
50201,GERVILLE-LA-FORET,Gerville-la-Forêt,50629
50202,GIEVILLE,Giéville,50601
50203,LA GLACERIE,La Glacerie,50129
50204,GLATIGNY,Glatigny,50236
50211,GOUBERVILLE,Gouberville,50142
50212,GOURBESVILLE,Gourbesville,50400
50213,GOURFALEUR,Gourfaleur,50546
50220,GREVILLE-HAGUE,Gréville-Hague,50041
50224,GUILBERVILLE,Guilberville,50601
50226,HAINNEVILLE,Hainneville,50129
50242,HERQUEVILLE,Herqueville,50041
50245,HEUSSE,Heussé,50591
50248,LE HOMMET-D'ARTHENAY,Le Hommet-d'Arthenay,50409
50249,HOUESVILLE,Houesville,50099
50250,HOUTTEVILLE,Houtteville,50400
50254,HUSSON,Husson,50591
50255,HYENVILLE,Hyenville,50419
50257,JOBOURG,Jobourg,50041
50264,LASTELLE,Lastelle,50405
50280,LOZON,Lozon,50292
50284,MACEY,Macey,50410
50286,LA MANCELLIERE,La Mancellière,50256
50287,LA MANCELLIERE-SUR-VIRE,La Mancellière-sur-Vire,50546
50293,MARTIGNY,Martigny,50391
50303,LE MESNIL-ANGOT,Le Mesnil-Angot,50216
50306,LE MESNIL-BŒUFS,Le Mesnil-Bœufs,50256
50307,LE MESNIL-BONANT,Le Mesnil-Bonant,50197
50309,LE MESNIL-DREY,Le Mesnil-Drey,50188
50314,LE MESNIL-HUE,Le Mesnil-Hue,50197
50316,LE MESNIL-OPAC,Le Mesnil-Opac,50363
50318,LE MESNIL-RAINFRAY,Le Mesnil-Rainfray,50260
50319,LE MESNIL-RAOULT,Le Mesnil-Raoult,50139
50322,LE MESNIL-THEBAULT,Le Mesnil-Thébault,50256
50323,LE MESNIL-TOVE,Le Mesnil-Tôve,50260
50325,LE MESNIL-VIGOT,Le Mesnil-Vigot,50431
50329,MILLY,Milly,50391
50330,MOBECQ,Mobecq,50236
50331,MOIDREY,Moidrey,50410
50333,LES MOITIERS-EN-BAUPTOIS,Les Moitiers-en-Bauptois,50400
50337,MONTANEL,Montanel,50487
50339,MONTCHATON,Montchaton,50388
50343,MONTGARDON,Montgardon,50236
50344,MONTGOTHIER,Montgothier,50256
50346,MONTIGNY,Montigny,50256
50355,MONTVIRON,Montviron,50565
50366,NACQUEVILLE,Nacqueville,50041
50367,NAFTEL,Naftel,50256
50375,NEVILLE-SUR-MER,Néville-sur-Mer,50142
50377,NOIRPALU,Noirpalu,50590
50380,NOTRE-DAME-D'ELLE,Notre-Dame-d'Elle,50492
50381,NOTRE-DAME-DU-TOUCHET,Notre-Dame-du-Touchet,50359
50383,OCTEVILLE,Octeville,50129
50385,OMONVILLE-LA-PETITE,Omonville-la-Petite,50041
50386,OMONVILLE-LA-ROGUE,Omonville-la-Rogue,50041
50392,LES PAS,Les Pas,50410
50396,LES PERQUES,Les Perques,50082
50404,PLACY-MONTAIGU,Placy-Montaigu,50444
50406,PLOMB,Plomb,50535
50414,PRECORBIN,Précorbin,50492
50415,PRETOT-SAINTE-SUZANNE,Prétot-Sainte-Suzanne,50273
50416,QUERQUEVILLE,Querqueville,50129
50418,QUETTETOT,Quettetot,50082
50424,RANCOUDRAY,Rancoudray,50456
50432,RETHOVILLE,Réthoville,50142
50434,LA ROCHELLE-NORMANDE,La Rochelle-Normande,50565
50439,RONTHON,Ronthon,50167
50440,ROUFFIGNY,Rouffigny,50639
50441,ROUXEVILLE,Rouxeville,50492
50458,SAINT-COME-DU-MONT,Saint-Côme-du-Mont,50099
50459,SAINTE-CROIX-DE-SAINT-LO,Sainte-Croix-de-Saint-Lô,50502
50460,SAINTE-CROIX-HAGUE,Sainte-Croix-Hague,50041
50465,SAINT-EBREMOND-DE-BONFOSSE,Saint-Ébremond-de-Bonfossé,50095
50466,SAINTE-EUGIENNE,Sainte-Eugienne,50597
50470,SAINT-GEORGES-DE-BOHON,Saint-Georges-de-Bohon,50564
50477,SAINT-GERMAIN-DES-VAUX,Saint-Germain-des-Vaux,50041
50494,SAINT-JEAN-DU-CORAIL,Saint-Jean-du-Corail,50359
50497,SAINT-JORES,Saint-Jores,50273
50501,SAINT-LEGER,Saint-Léger,50493
50508,SAINTE-MARIE-DU-BOIS,Sainte-Marie-du-Bois,50591
50515,SAINT-MARTIN-DE-LANDELLES,Saint-Martin-de-Landelles,50484
50520,SAINT-MARTIN-LE-HEBERT,Saint-Martin-le-Hébert,50082
50526,SAINT-MICHEL-DES-LOUPS,Saint-Michel-des-Loups,50066
50527,SAINT-NICOLAS-DE-COUTANCES,Saint-Nicolas-de-Coutances,50147
50530,SAINT-NICOLAS-PRES-GRANVILLE,Saint-Nicolas-près-Granville,50218
50534,SAINT-PELLERIN,Saint-Pellerin,50099
50544,SAINT-REMY-DES-LANDES,Saint-Rémy-des-Landes,50236
50545,SAINT-ROMPHAIRE,Saint-Romphaire,50546
50547,SAINT-SAUVEUR-DE-CHAULIEU,Saint-Sauveur-de-Chaulieu,50514
50555,SAINTE-SUZANNE-EN-BAUPTOIS,Sainte-Suzanne-en-Bauptois,50273
50557,SAINT-SYMPHORIEN-DES-MONTS,Saint-Symphorien-des-Monts,50090
50558,SAINT-SYMPHORIEN-LE-VALOIS,Saint-Symphorien-le-Valois,50236
50559,SAINT-SYMPHORIEN-LES-BUTTES,Saint-Symphorien-les-Buttes,50444
50560,SAINT-THOMAS-DE-SAINT-LO,Saint-Thomas-de-Saint-Lô,50502
50561,SAINT-URSIN,Saint-Ursin,50493
50566,SAULTCHEVREUIL-DU-TRONCHET,Saultchevreuil-du-Tronchet,50639
50586,SURVILLE,Surville,50236
50595,LE THEIL,Le Theil,50209
50600,TONNEVILLE,Tonneville,50041
50602,TOURLAVILLE,Tourlaville,50129
50608,TROISGOTS,Troisgots,50139
50611,URVILLE-NACQUEVILLE,Urville-Nacqueville,50041
50614,LE VALDECIE,Le Valdécie,50082
50620,VASTEVILLE,Vasteville,50041
50623,VAUVILLE,Vauville,50041
50625,VENGEONS,Vengeons,50582
50627,VERGONCEY,Vergoncey,50487
50630,VESSEY,Vessey,50410
50631,LES VEYS,Les Veys,50099
50632,VEZINS,Vezins,50256
50635,VIDOUVILLE,Vidouville,50492
50638,VILLECHIEN,Villechien,50359
50640,VILLIERS-LE-PRE,Villiers-le-Pré,50487
50642,VINDEFONTAINE,Vindefontaine,50400
50644,VIREY,Virey,50484
50645,VRASVILLE,Vrasville,50142
50646,LE VRETOT,Le Vrétot,50082
50649,PONT-FARCY,Pont-Farcy,50592
51011,ANTE,Ante,51537
51021,AULNAY-AUX-PLANCHES,Aulnay-aux-Planches,51158
51024,AULNIZEUX,Aulnizeux,51158
51026,AUMENANCOURT-LE-PETIT,Auménancourt-le-Petit,51025
51064,BISSEUIL,Bisseuil,51030
51067,BLAISE-SOUS-HAUTEVILLE,Blaise-sous-Hauteville,51277
51096,BUSSY-AUX-BOIS,Bussy-aux-Bois,51270
51114,CHAMPAUBERT-AUX-BOIS,Champaubert-aux-Bois,51269
51123,CHANTECOQ,Chantecoq,51269
51131,CHARMONTOIS-L'ABBE,Charmontois-l'Abbé,51132
51159,COMBLIZY,Comblizy,51298
51180,COURBETAUX,Courbetaux,51380
51189,COURMELOIS,Courmelois,51571
51207,DAMPIERRE-SUR-AUVE,Dampierre-sur-Auve,51211
51209,DAUCOURT,Daucourt,51228
51221,L'ECHELLE,L'Échelle,51380
51257,FONTAINE-SUR-COOLE,Fontaine-sur-Coole,51244
51261,FRESNE-LES-REIMS,Fresne-lès-Reims,51075
51271,GIONGES,Gionges,51612
51297,HURLUS,Hurlus,51659
51330,LOUVERCY,Louvercy,51326
51331,LOUVOIS,Louvois,51564
51332,LUCY,Lucy,51381
51335,MACLAUNAY,Maclaunay,51380
51347,MAREUIL-SUR-AY,Mareuil-sur-Ay,51030
51366,LE MESNIL-LES-HURLUS,Le Mesnil-lès-Hurlus,51368
51383,MORAINS,Morains,51158
51394,NAUROY,Nauroy,51046
51400,NEUVILLE-SOUS-ARZILLIERES,Neuville-sous-Arzillières,51017
51401,LA NEUVILLETTE,La Neuvillette,51454
51405,NORMEE,Normée,51248
51408,NUISEMENT-AUX-BOIS,Nuisement-aux-Bois,51277
51411,OGER,Oger,51612
51427,PERTHES-LES-HURLUS,Perthes-lès-Hurlus,51553
51462,RIPONT,Ripont,51470
51467,ROSAY,Rosay,51218
51481,SAINT-GENEST,Saint-Genest,51071
51494,SAINTE-LIVIERE,Sainte-Livière,52182
51540,SOIGNY,Soigny,51264
51541,SOILLY,Soilly,51217
51554,SOUDE-NOTRE-DAME-OU-LE-PETIT,Soudé-Notre-Dame-ou-le-Petit,51555
51561,TAHURE,Tahure,51544
51575,TOULON-LA-MONTAGNE,Toulon-la-Montagne,51611
51593,VARIMONT,Varimont,51214
51615,VESIGNEUL-SUR-COOLE,Vésigneul-sur-Coole,51244
51651,VOIPREUX,Voipreux,51612
51653,VOUCIENNES,Vouciennes,51648
51661,WEZ,Wez,51571
51664,GERNICOURT,Gernicourt,51171
52010,ANGLUS,Anglus,52088
52018,ARGENTOLLES,Argentolles,52140
52020,ARNONCOURT-SUR-APANCE,Arnoncourt-sur-Apance,52273
52024,AUBIGNY-SUR-BADIN,Aubigny-sur-Badin,52405
52026,AUGEVILLE,Augeville,52187
52032,AVRAINVILLE,Avrainville,52497
52036,BALESMES-SUR-MARNE,Balesmes-sur-Marne,52449
52041,BEAUCHARMOY,Beaucharmoy,52400
52046,BETTONCOURT-LE-HAUT,Bettoncourt-le-Haut,52187
52048,BIENVILLE,Bienville,52194
52049,BIERNES,Biernes,52140
52052,BLAISE,Blaise,52140
52054,BLANCHEVILLE,Blancheville,52008
52068,BRAUCOURT,Braucourt,52182
52071,BRESSONCOURT,Bressoncourt,52491
52073,BREUIL-SUR-MARNE,Breuil-sur-Marne,52123
52077,BRONCOURT,Broncourt,52197
52078,BROTTES,Brottes,52121
52080,BROUTHIERES,Brouthières,52491
52081,BUCHEY,Buchey,52426
52086,BUXIERES-LES-FRONCLES,Buxières-lès-Froncles,52211
52096,CHAMARANDES,Chamarandes,52125
52098,CHAMEROY,Chameroy,52431
52100,CHAMPCOURT,Champcourt,52140
52111,CHARMOILLES,Charmoilles,52432
52112,CHARMOY,Charmoy,52197
52117,CHATOILLENOT,Chatoillenot,52189
52139,COLOMBEY-LES-CHOISEUL,Colombey-lès-Choiseul,52074
52143,CORGIRNON,Corgirnon,52083
52144,CORLEE,Corlée,52269
52148,COURCELLES-SUR-AUJON,Courcelles-sur-Aujon,52450
52150,COURCELLES-VAL-D'ESNOMS,Courcelles-Val-d'Esnoms,52189
52152,COUZON-SUR-COULANGE,Couzon-sur-Coulange,52405
52153,CREANCEY,Créancey,52114
52154,CRENAY,Crenay,52205
52166,DARDENAY,Dardenay,52126
52176,DONNEMARIE,Donnemarie,52353
52180,DROYES,Droyes,52411
52186,EPINANT,Épinant,52332
52188,ERISEUL,Ériseul,52450
52191,ESSEY-LES-EAUX,Essey-les-Eaux,52353
52192,ESSEY-LES-PONTS,Essey-les-Ponts,52114
52202,FLORNOY,Flornoy,52497
52209,FRESNOY-EN-BASSIGNY,Fresnoy-en-Bassigny,52377
52210,FRETTES,Frettes,70122
52215,GENRUPT,Genrupt,52060
52224,GONAINCOURT,Gonaincourt,52064
52226,GOURZON,Gourzon,52265
52236,HARMEVILLE,Harméville,52288
52238,HARRICOURT,Harricourt,52140
52239,HEUILLEY-COTTON,Heuilley-Cotton,52529
52241,HOERICOURT,Hoëricourt,52448
52252,JORQUENAY,Jorquenay,52246
52255,LACRETE,Lacrète,52061
52259,LAHARMAND,Laharmand,52251
52261,LAMARGELLE-AUX-BOIS,Lamargelle-aux-Bois,52094
52262,LAMOTHE-EN-BLAISY,Lamothe-en-Blaisy,52140
52263,LANDEVILLE,Landéville,52173
52268,LANEUVILLE-AU-BOIS,Laneuville-au-Bois,52288
52270,LANNES,Lannes,52432
52279,LAVILLENEUVE-AUX-FRESNES,Lavilleneuve-aux-Fresnes,52140
52281,LECOURT,Lécourt,52332
52283,LENIZEUL,Lénizeul,52332
52293,LONGEVILLE-SUR-LA-LAINES,Longeville-sur-la-Laines,52411
52296,LOUZE,Louze,52411
52299,MACONCOURT,Maconcourt,52456
52309,MARAULT,Marault,52058
52314,MARMESSE,Marmesse,52114
52317,MAULAIN,Maulain,52332
52323,MEUSE,Meuse,52332
52324,MEUVY,Meuvy,52074
52329,MONTESSON,Montesson,52388
52333,MONTLANDON,Montlandon,52242
52334,MONTORMENTIER,Montormentier,52158
52338,MONTRIBOURG,Montribourg,52114
52339,MONTSAON,Montsaon,52469
52340,MONTSAUGEON,Montsaugeon,52405
52343,MORTEAU,Morteau,52128
52345,MUSSEAU,Musseau,52094
52351,NIJON,Nijon,52064
52361,ODIVAL,Odival,52353
52368,ORMOY-SUR-AUBE,Ormoy-sur-Aube,52274
52379,PAUTAINES-AUGEVILLE,Pautaines-Augeville,52187
52381,PERCEY-LE-PAUTEL,Percey-le-Pautel,52292
52382,PERCEY-SOUS-MONTORMENTIER,Percey-sous-Montormentier,52158
52387,PIEPAPE,Piépape,52529
52389,PIERREFONTAINES,Pierrefontaines,52384
52402,PRANGEY,Prangey,52529
52404,PRATZ,Pratz,52140
52408,PREZ-SUR-MARNE,Prez-sur-Marne,52265
52409,PROVENCHERES-SUR-MARNE,Provenchères-sur-Marne,52211
52410,PROVENCHERES-SUR-MEUSE,Provenchères-sur-Meuse,52332
52412,LE PUITS-DES-MEZES,Le Puits-des-Mèzes,52050
52417,RAVENNEFONTAINES,Ravennefontaines,52332
52418,RECOURT,Récourt,52332
52427,ROBERT-MAGNY,Robert-Magny,52331
52430,ROCHES-SUR-ROGNON,Roches-sur-Rognon,52044
52434,ROOCOURT-LA-COTE,Roôcourt-la-Côte,52058
52435,ROSOY-SUR-AMANCE,Rosoy-sur-Amance,52242
52441,ROZIERES,Rozières,52479
52451,SAINT-MARTIN-SUR-LA-RENNE,Saint-Martin-sur-la-Renne,52031
52454,SAINT-MICHEL,Saint-Michel,52529
52458,SANTENOGE,Santenoge,52526
52460,SARCICOURT,Sarcicourt,52251
52462,SAUCOURT-SUR-ROGNON,Saucourt-sur-Rognon,52177
52466,SAUVAGE-MAGNY,Sauvage-Magny,52088
52471,SEUCHEY,Seuchey,52464
52477,SOMMERMONT,Sommermont,52118
52478,SOMMEVILLE,Sommeville,52123
52481,SOULAINCOURT,Soulaincourt,52491
52485,SUZEMONT,Suzémont,52413
52496,TROISCHAMPS,Troischamps,52242
52498,TRONCHOY,Tronchoy,52432
52501,VALDELANCOURT,Valdelancourt,52031
52508,VAUX-LA-DOUCE,Vaux-la-Douce,52544
52509,VAUX-SOUS-AUBIGNY,Vaux-sous-Aubigny,52405
52521,VIEUX-MOULINS,Vieux-Moulins,52383
52527,VILLARS-SAINT-MARCELLIN,Villars-Saint-Marcellin,52060
52530,VILLEMERVRY,Villemervry,52094
52531,VILLEMORON,Villemoron,52094
52532,VILLIERS-AUX-BOIS,Villiers-aux-Bois,52497
52533,VILLIERS-AUX-CHENES,Villiers-aux-Chênes,52178
52537,VILLIERS-SUR-MARNE,Villiers-sur-Marne,52230
53004,AMPOIGNE,Ampoigné,53124
53020,LA BAROCHE-GONDOUIN,La Baroche-Gondouin,53127
53024,BAZOUGES,Bazouges,53062
53032,BLANDOUET,Blandouet,53228
53044,BRETIGNOLLES-LE-MOULIN,Brétignolles-le-Moulin,53118
53050,CHAMMES,Chammes,53255
53060,LES CHAPELLES,Les Chapelles,53121
53070,CIGNE,Cigné,53003
53081,COURBERIE,Courberie,53127
53095,EPINEUX-LE-SEGUIN,Épineux-le-Seguin,53017
53149,MELLERAY-LA-VALLEE,Melleray-la-Vallée,53127
53166,NIORT-LA-FONTAINE,Niort-la-Fontaine,53127
53167,NUILLE-SUR-OUETTE,Nuillé-sur-Ouette,53262
53171,ORGERES-LA-ROCHE,Orgères-la-Roche,53133
53183,POULAY,Poulay,53160
53194,RUILLE-LE-GRAVELAIS,Ruillé-le-Gravelais,53137
53205,SAINT-CENERE,Saint-Céneré,53161
53217,SAINT-GAULT,Saint-Gault,53186
53227,SAINT-ISLE,Saint-Isle,53103
53252,SAINT-SAMSON,Saint-Samson,53185
53268,VAUCE,Vaucé,53079
53275,VIVIERS,Viviers,53265
54267,HOUSSELMONT,Housselmont,54010
54319,LIXIERES,Lixières,54059
54341,MANCE,Mance,54099
54342,MANCIEULLES,Mancieulles,54099
54347,MANONCOURT-SUR-SEILLE,Manoncourt-sur-Seille,54059
54361,MENILLOT,Ménillot,54128
54384,MOREY,Morey,54059
54448,REGNIEVILLE,Regniéville,54518
54454,REMENAUVILLE,Remenauville,54316
54503,SERRIERES,Serrières,54059
55003,AILLY-SUR-MEUSE,Ailly-sur-Meuse,55229
55006,AMBLAINCOURT,Amblaincourt,55040
55016,AULNOIS-SOUS-VERTUZEY,Aulnois-sous-Vertuzey,55184
55019,AUZECOURT,Auzécourt,55388
55020,AUZEVILLE-EN-ARGONNE,Auzéville-en-Argonne,55117
55052,BILLY-SOUS-LES-COTES,Billy-sous-les-Côtes,55551
55056,BLERCOURT,Blercourt,55385
55074,BRASSEITTE,Brasseitte,55229
55086,BULAINVILLE,Bulainville,55389
55090,BUSSY-LA-COTE,Bussy-la-Côte,55366
55091,BUTGNEVILLE,Butgnéville,55457
55092,BUXERULLES,Buxerulles,55093
55098,CHAMPLON,Champlon,55473
55112,CHENNEVIERES,Chennevières,55358
55126,CORNIEVILLE,Corniéville,55258
55130,COUSANCELLES,Cousancelles,55132
55131,COUSANCES-AU-BOIS,Cousances-au-Bois,55518
55135,CREPION,Crépion,55341
55136,CREUE,Creuë,55551
55147,DARMONT,Darmont,55094
55151,DEUXNOUDS-AUX-BOIS,Deuxnouds-aux-Bois,55274
55152,DEUXNOUDS-DEVANT-BEAUZEE,Deuxnouds-devant-Beauzée,55040
55161,DOMREMY-AUX-BOIS,Domremy-aux-Bois,55179
55176,ERIZE-LA-GRANDE,Érize-la-Grande,55442
55187,FLABAS,Flabas,55341
55190,FLEURY-SUR-AIRE,Fleury-sur-Aire,55389
55203,GENICOURT-SOUS-CONDE,Génicourt-sous-Condé,55123
55205,GERAUVILLIERS,Gérauvilliers,55026
55209,GIBERCY,Gibercy,55145
55213,GIRONVILLE-SOUS-LES-COTES,Gironville-sous-les-Côtes,55258
55223,HADONVILLE-LES-LACHAUSSEE,Hadonville-lès-Lachaussée,55267
55227,HAN-DEVANT-PIERREPONT,Han-devant-Pierrepont,54602
55230,HARAUMONT,Haraumont,55571
55231,HARGEVILLE-SUR-CHEE,Hargeville-sur-Chée,55123
55233,HATTONCHATEL,Hattonchâtel,55551
55234,HATTONVILLE,Hattonville,55551
55235,HAUCOURT-LA-RIGOLE,Haucourt-la-Rigole,55500
55238,HAUMONT-LES-LACHAUSSEE,Haumont-lès-Lachaussée,55267
55240,HAUTECOURT-LES-BROVILLE,Hautecourt-lès-Broville,55002
55249,HOUDELAUCOURT-SUR-OTHAIN,Houdelaucourt-sur-Othain,55500
55259,JUBECOURT,Jubécourt,55117
55273,LAMARCHE-EN-WOEVRE,Lamarche-en-Woëvre,55386
55277,LANDZECOURT,Landzécourt,55410
55283,LAVIGNEVILLE,Lavignéville,55274
55287,LEMPIRE-AUX-BOIS,Lempire-aux-Bois,55276
55294,LIOUVILLE,Liouville,55012
55305,LOUPPY-SUR-CHEE,Louppy-sur-Chée,55123
55308,LOXEVILLE,Loxéville,55179
55309,LUMEVILLE-EN-ORNOIS,Luméville-en-Ornois,55215
55314,MALAUMONT,Malaumont,55114
55318,LES MARATS,Les Marats,55123
55319,MARBOTTE,Marbotte,55012
55337,MESNIL-SOUS-LES-COTES,Mesnil-sous-les-Côtes,55060
55342,MONDRECOURT,Mondrecourt,55254
55354,MONT-VILLERS,Mont-Villers,55060
55390,OEY,Oëy,55358
55392,OLLIERES,Ollières,55500
55393,ORNEL,Ornel,55191
55402,PAROIS,Parois,55117
55413,RAMPONT,Rampont,55497
55417,RAULECOURT,Raulecourt,55085
55418,RECHICOURT,Réchicourt,55500
55432,RIGNAUCOURT,Rignaucourt,55254
55440,ROSIERES-DEVANT-BAR,Rosières-devant-Bar,55369
55441,ROSIERES-EN-BLOIS,Rosières-en-Blois,55148
55451,SAINT-AGNANT-SOUS-LES-COTES,Saint-Agnant-sous-les-Côtes,55012
55455,SAINT-BENOIT-EN-WOEVRE,Saint-Benoît-en-Woëvre,55551
55478,SAVONNIERES-EN-WOEVRE,Savonnières-en-Woëvre,55530
55480,SENARD,Senard,55517
55483,SENONVILLE,Senonville,55530
55486,SERAUCOURT,Seraucourt,55040
55491,SOMMAISNE,Sommaisne,55423
55499,SPADA,Spada,55274
55513,TOURAILLES-SOUS-BOIS,Tourailles-sous-Bois,55215
55524,VACON,Vacon,55573
55529,VARNEY,Varney,55366
55538,VAUX-LA-GRANDE,Vaux-la-Grande,55472
55539,VAUX-LA-PETITE,Vaux-la-Petite,55472
55542,VEEL,Véel,55186
55548,VERTUZEY,Vertuzey,55184
55550,VIEVILLE-SOUS-LES-COTES,Viéville-sous-les-Côtes,55551
55558,VILLE-ISSEY,Ville-Issey,55184
55564,VILLERS-SOUS-BONCHAMP,Villers-sous-Bonchamp,55060
55576,WADONVILLE-EN-WOEVRE,Wadonville-en-Woëvre,55457
55585,WOINVILLE,Woinville,55093
56037,LA CHAPELLE-CARO,La Chapelle-Caro,56197
56038,LA CHAPELLE-GACELINE,La Chapelle-Gaceline,56061
56064,GLENAC,Glénac,56061
56095,KERYADO,Keryado,56121
56142,MOUSTOIR-REMUNGOL,Moustoir-Remungol,56144
56150,NOYALO,Noyalo,56251
56183,QUELNEUC,Quelneuc,56033
56187,QUILY,Quily,56197
56192,REMUNGOL,Remungol,56144
56217,SAINT-GOUVRY,Saint-Gouvry,56198
56235,SAINT-SAMSON,Saint-Samson,56198
57005,ACHATEL,Achâtel,57605
57023,ANGVILLER-LES-BISPING,Angviller-lès-Bisping,57086
57068,BERTRING,Bertring,57262
57078,BIBERKIRCH,Biberkirch,57680
57094,BORNY,Borny,57463
57135,CHEMERY,Chémery,57209
57157,COUTURES,Coutures,57132
57164,DAIN-EN-SAULNOIS,Dain-en-Saulnois,57572
57170,DEDELING,Dédeling,57133
57184,DORNOT,Dornot,57021
57185,DOURD'HAL,Dourd'Hal,57606
57223,FOLPERSVILLER,Folpersviller,57631
57243,GARCHE,Garche,57672
57279,GUIRLANGE,Guirlange,57252
57285,HALLING-LES-BOULAY,Halling-lès-Boulay,57097
57327,HOFF,Hoff,57630
57363,KERPRICH-LES-DIEUZE,Kerprich-lès-Dieuze,57270
57369,KŒKING,Kœking,57672
57378,LANDONVILLERS,Landonvillers,57155
57400,LIDREQUIN,Lidrequin,57151
57420,LOUTREMANGE,Loutremange,57150
57429,MAGNY,Magny,57463
57432,MAIZERY,Maizery,57148
57435,MALANCOURT-LA-MONTAGNE,Malancourt-la-Montagne,57019
57450,MARSPICH,Marspich,57306
57458,MERLEBACH,Merlebach,57240
57503,NEUNKIRCH-LES-SARREGUEMINES,Neunkirch-lès-Sarreguemines,57631
57522,ŒUTRANGE,Œutrange,57672
57523,OGY,Ogy,57482
57608,SAINT-BERNARD,Saint-Bernard,57542
57632,SARREINSBERG,Sarreinsberg,57250
57646,SENTZICH,Sentzich,57124
57688,VALLIERES-LES-METZ,Vallières-lès-Metz,57463
57699,VAUDONCOURT,Vaudoncourt,57695
57710,VEYMERANGE,Veymerange,57672
57729,VOLKRANGE,Volkrange,57672
57735,VREMY,Vrémy,57204
57744,WELFERDING,Welferding,57631
57758,HAUTE-YUTZ,Haute-Yutz,57757
57766,SAINT-NICOLAS-EN-FORET,Saint-Nicolas-en-Forêt,57306
58022,BALLERAY,Balleray,58204
58091,COURS,Cours,58086
58100,DOMPIERRE-SUR-HERY,Dompierre-sur-Héry,58026
58167,MICHAUGUES,Michaugues,58026
59020,ASCQ,Ascq,59009
59030,AUDENCOURT,Audencourt,59139
59040,AYMERIES,Aymeries,59033
59095,BOURBOURG-CAMPAGNE,Bourbourg-Campagne,59094
59154,COUDEKERQUE-VILLAGE,Coudekerque-Village,59588
59235,FLERS-LEZ-LILLE,Flers-lez-Lille,59009
59245,FORENVILLE,Forenville,59567
59248,FORT-MARDYCK,Fort-Mardyck,59183
59298,HELLEMMES-LILLE,Hellemmes-Lille,59350
59355,LOMME,Lomme,59350
59362,LOUVIGNIES-BAVAY,Louvignies-Bavay,59053
59373,MALO-LES-BAINS,Malo-les-Bains,59183
59376,MARCHIENNES-CAMPAGNE,Marchiennes-Campagne,59501
59380,MARDYCK,Mardyck,59183
59404,LES MOERES,Les Moëres,59260
59417,MORENCHIES,Morenchies,59122
59460,PETITE-SYNTHE,Petite-Synthe,59183
59510,ROSENDAEL,Rosendaël,59183
59540,SAINT-POL-SUR-MER,Saint-Pol-sur-Mer,59183
59561,SELVIGNY,Selvigny,59631
59621,VILLERS-CAMPEAU,Villers-Campeau,59574
59644,WARNETON-SUD,Warneton-Sud,59643
60018,ANSERVILLE,Anserville,60088
60202,DRESLINCOURT,Dreslincourt,60537
60246,FOSSEUSE,Fosseuse,60088
60266,FUMECHON,Fumechon,60133
60349,LARDIERES,Lardières,60395
60384,MARISSEL,Marissel,60057
60417,MONTHERLANT,Montherlant,60570
60419,MONTIGNY,Montigny,60374
60453,LA NEUVILLE-D'AUMONT,La Neuville-d'Aumont,60196
60467,NOTRE-DAME-DU-THIL,Notre-Dame-du-Thil,60057
60532,RESSONS-L'ABBAYE,Ressons-l'Abbaye,60196
60580,SAINT-JUST-DES-MARAIS,Saint-Just-des-Marais,60057
60607,SAUQUEUSE-SAINT-LUCIEN,Sauqueuse-Saint-Lucien,60668
60649,TROUSSURES,Troussures,60029
60690,VILLERS-SUR-TRIE,Villers-sur-Trie,60644
60696,VOISINLIEU,Voisinlieu,60057
61003,ANCEINS,Anceins,61167
61004,ANTOIGNY,Antoigny,61168
61009,AUBRY-EN-EXMES,Aubry-en-Exmes,61474
61016,AUTHEUIL,Autheuil,61491
61019,AVERNES-SOUS-EXMES,Avernes-sous-Exmes,61474
61022,BAGNOLES-DE-L'ORNE,Bagnoles-de-l'Orne,61483
61025,LA BAROCHE-SOUS-LUCE,La Baroche-sous-Lucé,61211
61027,BATILLY,Batilly,61153
61031,BEAUCHENE,Beauchêne,61486
61033,BEAULANDAIS,Beaulandais,61211
61042,BELLOU-SUR-HUISNE,Bellou-sur-Huisne,61345
61045,BIVILLIERS,Bivilliers,61491
